title;rating;no_genres_listed;action;adventure;animation;children;comedy;fantasy;IMAX;romance;sci-Fi;western;crime;mystery;thriller;drama;horror;film-Noir;documentary;war;musical
Everest (1998);4,25;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0
Hush (1998);2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Suicide Kings (1997);3,423076923;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Man in the Iron Mask, The (1998);3,5;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Newton Boys, The (1998);3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Wild Things (1998);3,016129032;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Paulie (1998);2,3125;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cool, Dry Place, A (1998);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Fireworks (Hana-bi) (1997);4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Primary Colors (1998);3,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Wide Awake (1998);3,666666667;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Two Girls and a Guy (1997);2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Object of My Affection, The (1998);2,666666667;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Homegrown (1998);1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
The Players Club (1998);3,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Barney's Great Adventure (1998);2;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Big One, The (1997);3,333333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Chinese Box (1997);3,25;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Lost in Space (1998);2,448275862;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Mercury Rising (1998);3;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Spanish Prisoner, The (1997);4;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
City of Angels (1998);3,382352941;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Last Days of Disco, The (1998);4,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Odd Couple II, The (1998);2,25;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
My Giant (1998);3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
He Got Game (1998);3,214285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Gingerbread Man, The (1998);3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0
Live Flesh (Carne trémula) (1997);3,875;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Zero Effect (1998);3,966666667;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0
Borrowers, The (1997);3,041666667;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Krippendorf's Tribe (1998);2,571428571;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kurt & Courtney (1998);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Real Blonde, The (1997);3,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mr. Nice Guy (Yat goh ho yan) (1997);2,5625;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Taste of Cherry (Ta'm e guilass) (1997);3,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Character (Karakter) (1997);2,625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Species II (1998);1,944444444;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Major League: Back to the Minors (1998);2,428571429;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Big Hit, The (1998);2,928571429;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Tarzan and the Lost City (1998);2;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dancer, Texas Pop. 81 (1998);3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Misérables, Les (1998);3,75;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0
Clockwatchers (1997);3,916666667;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Deep Impact (1998);3,069767442;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
Quest for Camelot (1998);2;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Godzilla (1998);1,954545455;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0
Bulworth (1998);3,270833333;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Fear and Loathing in Las Vegas (1998);3,967391304;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Opposite of Sex, The (1998);3,125;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Almost Heroes (1998);2;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Hope Floats (1998);2,666666667;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Insomnia (1997);3,75;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
Ugly, The (1997);2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Perfect Murder, A (1998);3,28125;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Beyond Silence (Jenseits der Stille) (1996);4,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Six Days Seven Nights (1998);2,84375;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Can't Hardly Wait (1998);3,333333333;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
High Art (1998);3,5;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Children of Heaven, The (Bacheha-Ye Aseman) (1997);4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Dream for an Insomniac (1996);4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Henry Fool (1997);3,333333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Mr. Jealousy (1997);2,5;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Mulan (1998);3,566666667;0;0;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1
X-Files: Fight the Future, The (1998);3,44047619;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0
I Went Down (1997);2;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Dr. Dolittle (1998);2,609375;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Out of Sight (1998);3,859375;0;0;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0
Picnic at Hanging Rock (1975);4;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Smoke Signals (1998);3,388888889;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Buffalo '66 (a.k.a. Buffalo 66) (1998);3,416666667;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Armageddon (1998);3,054347826;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
Lethal Weapon 4 (1998);2,848484848;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Madeline (1998);2,5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Small Soldiers (1998);2,833333333;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0
Pi (1998);3,85106383;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0
Whatever (1998);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
There's Something About Mary (1998);3,676190476;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Plan 9 from Outer Space (1959);3,1875;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
Broadway Melody, The (1929);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
All Quiet on the Western Front (1930);4,35;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Cimarron (1931);3,5;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0
Grand Hotel (1932);4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Mutiny on the Bounty (1935);4,166666667;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Great Ziegfeld, The (1936);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Life of Emile Zola, The (1937);3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
You Can't Take It with You (1938);3,833333333;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Mrs. Miniver (1942);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Going My Way (1944);3,25;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Lost Weekend, The (1945);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Best Years of Our Lives, The (1946);4,0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Gentleman's Agreement (1947);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Hamlet (1948);3,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
All the King's Men (1949);4,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
From Here to Eternity (1953);3,954545455;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
On the Waterfront (1954);4,1875;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Marty (1955);3,833333333;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
West Side Story (1961);3,602941176;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1
Tom Jones (1963);3,642857143;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Man for All Seasons, A (1966);4,333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
In the Heat of the Night (1967);4,181818182;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Oliver! (1968);3,571428571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
Midnight Cowboy (1969);3,954545455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
French Connection, The (1971);3,871794872;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
Rocky (1976);3,828125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Kramer vs. Kramer (1979);3,892857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Ordinary People (1980);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Chariots of Fire (1981);4,038461538;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Terms of Endearment (1983);3,795454545;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Out of Africa (1985);3,666666667;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Last Emperor, The (1987);3,692307692;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Rain Man (1988);3,807291667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Driving Miss Daisy (1989);3,739130435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Take the Money and Run (1969);3,363636364;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Klute (1971);4,083333333;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Repo Man (1984);3,380952381;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Metropolitan (1990);3,625;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Labyrinth (1986);3,821428571;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Breakfast Club, The (1985);3,778761062;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Nightmare on Elm Street 2: Freddy's Revenge, A (1985);2,35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Nightmare on Elm Street 3: Dream Warriors, A (1987);2,916666667;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Nightmare on Elm Street 4: The Dream Master, A (1988);2,428571429;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Nightmare on Elm Street 5: The Dream Child, A (1989);2,142857143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Freddy's Dead: The Final Nightmare (Nightmare on Elm Street Part 6: Freddy's Dead, A) (1991);2,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Friday the 13th (1980);2,875;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
Friday the 13th Part 2 (1981);2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Friday the 13th Part 3: 3D (1982);2,214285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Friday the 13th Part IV: The Final Chapter (1984);2,583333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Friday the 13th Part V: A New Beginning (1985);2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Friday the 13th Part VI: Jason Lives (1986);3,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Friday the 13th Part VII: The New Blood (1988);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Friday the 13th Part VIII: Jason Takes Manhattan (1989);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Halloween (1978);3,722222222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Halloween II (1981);2,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Halloween III: Season of the Witch (1982);2,166666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Halloween 4: The Return of Michael Myers (1988);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Halloween 5: The Revenge of Michael Myers (1989);1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Prom Night (1980);2,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Prom Night IV: Deliver Us From Evil (1992);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Child's Play (1988);2,708333333;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Child's Play 2 (1990);2,375;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Child's Play 3 (1991);1,8;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Poltergeist (1982);3,425531915;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Poltergeist II: The Other Side (1986);1,666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Poltergeist III (1988);1,875;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Exorcist, The (1973);3,801886792;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0
Exorcist II: The Heretic (1977);1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Exorcist III, The (1990);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Lethal Weapon (1987);3,673333333;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Lethal Weapon 2 (1989);3,180851064;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Lethal Weapon 3 (1992);2,934782609;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Gremlins (1984);3,37804878;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Gremlins 2: The New Batch (1990);3,333333333;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
Goonies, The (1985);3,570175439;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Mask of Zorro, The (1998);3,1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Polish Wedding (1998);3,5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
This World, Then the Fireworks (1997);3;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
Soylent Green (1973);3,473684211;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0
Metropolis (1927);3,857142857;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
Back to the Future Part II (1989);3,505747126;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Back to the Future Part III (1990);3,369318182;0;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
Poseidon Adventure, The (1972);3,095238095;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Freaky Friday (1977);2,625;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Absent-Minded Professor, The (1961);3,388888889;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Apple Dumpling Gang Rides Again, The (1979);2,875;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
Babes in Toyland (1961);3,1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Bambi (1942);3,368421053;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Seven Samurai (Shichinin no samurai) (1954);4,1875;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Dangerous Liaisons (1988);4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Dune (1984);3,432432432;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Last Temptation of Christ, The (1988);3,6875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Godfather: Part III, The (1990);3,355555556;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Rapture, The (1991);3,333333333;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
Lolita (1997);3,928571429;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
Disturbing Behavior (1998);2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
Jane Austen's Mafia! (1998);1,833333333;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Saving Private Ryan (1998);4,146276596;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Barefoot Executive, The (1971);2;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Black Cauldron, The (1985);3,75;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Black Hole, The (1979);2,611111111;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Blackbeard's Ghost (1968);3,666666667;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Blank Check (1994);2,25;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Candleshoe (1977);4;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cat from Outer Space, The (1978);2,333333333;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Computer Wore Tennis Shoes, The (1969);2,857142857;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Condorman (1981);3,333333333;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D2: The Mighty Ducks (1994);2,583333333;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Darby O'Gill and the Little People (1959);2,75;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Devil and Max Devlin, The (1981);2,5;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Flight of the Navigator (1986);3,208333333;0;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Great Mouse Detective, The (1986);3,5625;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Herbie Goes Bananas (1980);2,875;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Herbie Goes to Monte Carlo (1977);2,333333333;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Hocus Pocus (1993);2,760869565;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
Honey, I Blew Up the Kid (1992);2,05;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Honey, I Shrunk the Kids (1989);2,757352941;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0
Hot Lead and Cold Feet (1978);3;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
In Search of the Castaways (1962);3;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Incredible Journey, The (1963);3,375;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Negotiator, The (1998);3,35;0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0
Parent Trap, The (1998);3;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
BASEketball (1998);3,071428571;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Roger & Me (1989);3,838709677;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
Purple Rose of Cairo, The (1985);3,730769231;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
Out of the Past (1947);4,125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
Doctor Zhivago (1965);4,142857143;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0
Fanny and Alexander (Fanny och Alexander) (1982);2,75;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0
Trip to Bountiful, The (1985);4,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Tender Mercies (1983);3,4;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
And the Band Played On (1993);3,25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
'burbs, The (1989);3,176470588;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Fandango (1985);3,6;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Night Porter, The (Portiere di notte, Il) (1974);3,666666667;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
Mephisto (1981);5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
Blue Velvet (1986);3,945652174;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0
Journey of Natty Gann, The (1985);3,4;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jungle Book, The (1967);3,830188679;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Lady and the Tramp (1955);3,4;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
Little Mermaid, The (1989);3,425373134;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1
Mighty Ducks, The (1992);2,653846154;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Muppet Christmas Carol, The (1992);3,736842105;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Newsies (1992);2,7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
101 Dalmatians (One Hundred and One Dalmatians) (1961);3,431818182;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Peter Pan (1953);3,573170732;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1
Popeye (1980);2,5;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Rescuers Down Under, The (1990);3,5;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Rescuers, The (1977);3,192307692;0;0;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
Return from Witch Mountain (1978);2,25;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Return of Jafar, The (1994);2,416666667;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1
Return to Oz (1985);3;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Rocketeer, The (1991);3,256410256;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
Shaggy D.A., The (1976);2,833333333;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sleeping Beauty (1959);3,409090909;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Something Wicked This Way Comes (1983);2,9;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0
Son of Flubber (1963);2,5;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Song of the South (1946);3,416666667;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Splash (1984);3,117647059;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
Steamboat Willie (1928);2,333333333;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Tall Tale (1995);2,5;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
Tex (1982);4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
Tron (1982);3,34;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
